"name","last_name","first_name","graduation_date","rank_at_graduation","class","graduated_from","pilot_type","military_hometown_of_record","state","aerial_victory_credits","number_of_aerial_victory_credits","reported_lost","reported_lost_date","reported_lost_location","web_profile"
"Bickham, Luzine B.","Bickham","Luzine B.",1945-03-11,"Flight Officer","SE-45-A","TAAF","Single engine","Tuskegee Inst.","AL",,0,,,,
"Biffle, Richard L., Jr.","Biffle","Richard L., Jr.",1944-02-01,"Flight Officer","SE-44-K","TAAF","Single engine","Denver","CO",,0,,,,
"Bilbo, Reuben B.","Bilbo","Reuben B.",1945-06-27,"Flight Officer","SE-45-D","TAAF","Single engine","Fresno","CA",,0,,,,
"Bing, George L.","Bing","George L.",1944-08-04,"2nd Lt","SE-44-G","TAAF","Single engine","Brooklyn","NY",,0,,,,
"Bishop, Darryl C.","Bishop","Darryl C.",1943-09-30,"2nd Lt","CL-43-1","TAAF","Liaison pilot","Houston","TX",,0,,,,
"Bizzell, George F.","Bizzell","George F.",1943-10-22,"2nd Lt","CL-43-2","TAAF","Liaison pilot","Dayton","OH",,0,,,,
"Black, Samuel A., Jr.","Black","Samuel A., Jr.",1943-12-05,"2nd Lt","TE-43-K","TAAF","Twin engine","Plainfield","NJ",,0,,,,
"Blackwell, Hubron R.","Blackwell","Hubron R.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Baltimore","MD",,0,,,,
"Blaylock, Joseph E.","Blaylock","Joseph E.",1945-06-27,"2nd Lt","SE-45-D","TAAF","Single engine","Albany","GA",,0,,,,
"Blue, Elliot H.","Blue","Elliot H.",1944-01-07,"2nd Lt","TE-44-A","TAAF","Twin engine","Hampton","VA",,0,,,,"https://cafriseabove.org/elliott-howard-blue/"
"Bohannon, Horace A.","Bohannon","Horace A.",1944-12-28,"Flight Officer","SE-44-J","TAAF","Single engine","Atlanta","GA",,0,,,,
"Bohler, Henry C.L.","Bohler","Henry C.L.",1944-12-28,"Flight Officer","SE-44-J","TAAF","Single engine","Augusta","GA",,0,,,,
"Bolden, Edgar L.","Bolden","Edgar L.",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","Arlington","VA",,0,,,,"https://cafriseabove.org/edgar-l-bolden/"
"Bolden, George C.","Bolden","George C.",1945-09-08,"2nd Lt","TE-45-F","TAAF","Twin engine","Pittsburg","PA",,0,,,,
"Bolling, George R.","Bolling","George R.",1942-07-03,"2nd Lt","SE-42-F","TAAF","Single engine","Hampton","VA",,0,,,,
"Bonam, Leonelle A.","Bonam","Leonelle A.",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Pascagoula","MS",,0,,,,
"Bonseigneur, Paul J., Jr.","Bonseigneur","Paul J., Jr.",1944-09-08,"2nd Lt","TE-44-H","TAAF","Twin engine","Chicago","IL",,0,,,,
"Bowman, James E.","Bowman","James E.",1944-02-01,"Flight Officer","SE-44-K","TAAF","Single engine","Des Moines","IA",,0,,,,"https://cafriseabove.org/james-everett-bowman/"
"Bowman, Leroy","Bowman","Leroy",1943-03-25,"2nd Lt","SE-43-C","TAAF","Single engine","Sumter","SC",,0,,,,"https://cafriseabove.org/leroy-bowman/"
"Bradford, Clarence H.","Bradford","Clarence H.",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","St. Louis","MO",,0,,,,
"Brantley, Charles V.","Brantley","Charles V.",1944-05-23,"Flight Officer","SE-44-E","TAAF","Single engine","St. Louis","MO","Downed 1 Me-262 on March 24, 1945",1,,,,
"Brashears, Virgil","Brashears","Virgil",1944-04-15,"2nd Lt","TE-44-D","TAAF","Twin engine","Kansas City","MO",,0,,,,
"Braswell, Thomas P.","Braswell","Thomas P.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","Buford","GA","Downed 1 Fw-190 on March 31, 1945",1,,,,
"Bratcher, Everett A.","Bratcher","Everett A.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Poplar Bluff","MO",,0,,,,
"Brazil, Harold E.","Brazil","Harold E.",1943-12-05,"2nd Lt","TE-43-K","TAAF","Twin engine","Joplin","MO",,0,,,,
"Brewer, Fred L., Jr.","Brewer","Fred L., Jr.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Charlotte","NC",,0,,,,"https://cafriseabove.org/fred-l-brewer-jr/"
"Brewin, Irvin O.","Brewin","Irvin O.",1944-11-20,"2nd Lt","SE-44-I","TAAF","Single engine","Chicago","IL",,0,,,,
"Brice, Edward W.","Brice","Edward W.",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","Orangeburg","SC",,0,,,,
"Briggs, Eugene A.","Briggs","Eugene A.",1946-03-23,"Flight Officer","SE-46-A","TAAF","Single engine","Boston","MA",,0,,,,
"Briggs, John F.","Briggs","John F.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","St. Louis","MO","Downed 1 Me-109 on August 24, 1944",1,,,,
"Bright, Alexander M.","Bright","Alexander M.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Chicago","IL",,0,,,,
"Broadnax, Samuel L.","Broadnax","Samuel L.",1945-03-11,"Flight Officer","SE-45-A","TAAF","Single engine","Oroville","CA",,0,,,,
"Broadwater, William E.","Broadwater","William E.",1945-08-04,"Flight Officer","TE-45-E","TAAF","Twin engine","Bryn Mawr","PA",,0,,,,"https://cafriseabove.org/william-e-broadwater/"
"Brooks, Johnny Y.","Brooks","Johnny Y.",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","Calumet City","IL",,0,,,,
"Brooks, Milton R.","Brooks","Milton R.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Glassport","PA","Downed 1 Me-109 on October 12, 1944",1,,,,"https://cafriseabove.org/milton-reed-brooks/"
"Brooks, Sidney P.","Brooks","Sidney P.",1942-04-29,"2nd Lt","SE-42-D","TAAF","Single engine","Cleveland","OH",,0,,,,"https://cafriseabove.org/sidney-p-brooks/"
"Brooks, Terry H.","Brooks","Terry H.",1943-10-22,"1st Lt","CL-43-2","TAAF","Liaison pilot",,,,0,,,,
"Brooks, Tilford U.","Brooks","Tilford U.",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","East St. Louis","IL",,0,,,,
"Brothers, James E.","Brothers","James E.",1944-08-04,"Flight Officer","TE-44-G","TAAF","Twin engine","Philadelphia","PA",,0,,,,
"Brothers, James E.","Brothers","James E.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Chicago","IL",,0,,,,
"Browder, Cecil L.","Browder","Cecil L.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Wilmington","NC",,0,,,,
"Brown, Augustus G.","Brown","Augustus G.",1944-09-08,"2nd Lt","TE-44-H","TAAF","Twin engine","Houma","LA",,0,,,,
"Brown, George A., Jr.","Brown","George A., Jr.",1945-08-04,"2nd Lt","TE-45-E","TAAF","Twin engine","Baltimore","MD",,0,,,,
"Brown, Harold Heywood","Brown","Harold Heywood",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Minneapolis","MN",,0,,,,
"Brown, Harold Howard","Brown","Harold Howard",1944-08-04,"2nd Lt","TE-44-G","TAAF","Twin engine","Weeletka","OK",,0,,,,
"Brown, James B.","Brown","James B.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Los Angeles","CA",,0,,,,"https://cafriseabove.org/james-b-brown/"
"Brown, James W.","Brown","James W.",1944-10-16,"2nd Lt","TE-44-I-1","TAAF","Twin engine","Detroit","MI",,0,,,,
"Brown, Lawrence A.","Brown","Lawrence A.",1944-02-01,"Flight Officer","SE-44-K","TAAF","Single engine","Jamaica","NY",,0,,,,
"Brown, Reuben H., Jr.","Brown","Reuben H., Jr.",1945-09-08,"2nd Lt","SE-45-F","TAAF","Single engine","Kansas City","MO",,0,,,,
"Brown, Robert S.","Brown","Robert S.",1944-09-08,"2nd Lt","TE-44-H","TAAF","Twin engine","Minneapolis","MN",,0,,,,
"Brown, Roger B.","Brown","Roger B.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Glencoe","IL",,0,,,,"https://cafriseabove.org/roger-bartlett-brown/"
"Brown, Roscoe C.","Brown","Roscoe C.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","New York","NY","Downed 1 Me-262 on March 24, 1945; Downed 1 Fw-190 on March 31, 1945",2,,,,"https://cafriseabove.org/roscoe-c-brown-jr/"
"Brown, Walter R., Jr.","Brown","Walter R., Jr.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Hampton","VA",,0,,,,
"Browne, Gene C.","Browne","Gene C.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","New York","NY",,0,,,,"https://cafriseabove.org/gene-c-browne/"
"Bruce, Reginald","Bruce","Reginald",1944-08-04,"Flight Officer","TE-44-G","TAAF","Twin engine","Indianapolis","IN",,0,,,,
"Bruce, Samuel M.","Bruce","Samuel M.",1942-09-06,"2nd Lt","SE-42-H","TAAF","Single engine","Seattle","WA",,0,,,,"https://cafriseabove.org/samuel-bruce-sam-martin/"
"Bryant, Grady E.","Bryant","Grady E.",1945-06-27,"2nd Lt","SE-45-D","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Bryant, Joseph C., Jr.","Bryant","Joseph C., Jr.",1945-08-04,"Flight Officer","TE-45-E","TAAF","Twin engine","Dowagiac","MI",,0,,,,
"Bryant, Leroy, Jr.","Bryant","Leroy, Jr.",1944-12-28,"Flight Officer","SE-44-J","TAAF","Single engine","Houston","TX",,0,,,,
"Bryson, James O.","Bryson","James O.",1945-06-27,"Flight Officer","SE-45-D","TAAF","Single engine","Columbus","GA",,0,,,,
"Burch, John Albert III","Burch","John Albert III",1945-03-11,"2nd Lt","SE-45-A","TAAF","Single engine","Indianapolis","IN",,0,,,,
"Burke, Vernon W.","Burke","Vernon W.",1948-10-12,"2nd Lt",,"Williams AFB, AZ","Single engine","Williams AFB","AZ",,0,,,,
"Burns, Charles Aston","Burns","Charles Aston",1946-05-14,,"TE-46-B","TAAF","Twin engine",,,,0,,,,
"Burns, Isham A., Jr.","Burns","Isham A., Jr.",1944-12-28,"2nd Lt","SE-44-J","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Bussey, Charles M.","Bussey","Charles M.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Los Angeles","CA","Downed 1 Me-109 on June 9, 1944",1,,,,
"Butler, Jewel B.","Butler","Jewel B.",1946-03-23,"2nd Lt","SE-46-A","TAAF","Single engine","Denison","TX",,0,,,,
"Bynum, Rolin A.","Bynum","Rolin A.",1944-01-07,"2nd Lt","TE-44-A","TAAF","Twin engine","Montclair","NJ",,0,,,,
"Byrd, Willie L., Jr.","Byrd","Willie L., Jr.",1943-12-05,"2nd Lt","TE-43-K","TAAF","Twin engine","Fayetteville","NC",,0,,,,
"Cabiness, Marshall S.","Cabiness","Marshall S.",1942-10-09,"2nd Lt","SE-42-I","TAAF","Single engine","Gastonia","NC",,0,,,,
"Cabule, Emest M., Jr.","Cabule","Emest M., Jr.",1945-03-11,"2nd Lt","SE-45-A","TAAF","Single engine","Detroit","MI",,0,,,,
"Caesar, Richard C.","Caesar","Richard C.",1942-09-06,"2nd Lt","SE-42-H","TAAF","Single engine","Lake Village","AR",,0,,,,
"Cain, William L.","Cain","William L.",1944-10-16,"Flight Officer","TE-44-I-1","TAAF","Twin engine","London","OH",,0,,,,
"Calhoun, James A.","Calhoun","James A.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Bridgeport","CT",,0,,,,"https://cafriseabove.org/james-albert-calhoun/"
"Calloway, Julius W.","Calloway","Julius W.",1944-11-20,"Flight Officer","SE-44-I","TAAF","Single engine","Louisville","KY",,0,,,,
"Campbell, Herman A.","Campbell","Herman A.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","New York","NY",,0,,,,
"Campbell, Lawrence E.","Campbell","Lawrence E.",1948-10-12,"2nd Lt","Unk","Williams AFB, AZ","Single engine","Williams AFB","AZ",,0,,,,
"Campbell, Lindsey L.","Campbell","Lindsey L.",1944-12-28,"Flight Officer","SE-44-J","TAAF","Single engine","Washington","DC",,0,,,,
"Campbell, McWheeler","Campbell","McWheeler",1944-12-28,"2nd Lt","SE-44-J","TAAF","Single engine","Cambria","VA",,0,,,,
"Campbell, Vincent O.","Campbell","Vincent O.",1945-03-11,"2nd Lt","SE-45-A","TAAF","Single engine","Corona","NY",,0,,,,
"Campbell, William A.","Campbell","William A.",1942-07-03,"2nd Lt","SE-42-F","TAAF","Single engine","Tuskegee","AL","Downed 1 Me-109 on March 31, 1945",1,,,,"https://cafriseabove.org/william-a-campbell/"
"Carey, Carl E.","Carey","Carl E.",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","St. Louis","MO","Downed 2 FW-190s on April 1, 1945",2,,,,
"Cargill, Gilbert A.","Cargill","Gilbert A.",,"Flight Officer","45-BI-1","TAAF","Service pilot","Cleveland","OH",,0,,,,"https://cafriseabove.org/gilbert-a-cargill/"
"Carpenter, Russell W., Jr.","Carpenter","Russell W., Jr.",1944-11-20,"2nd Lt","SE-44-I","TAAF","Single engine","Plainfield","NJ",,0,,,,
"Carroll, Alfred Q., Jr.","Carroll","Alfred Q., Jr.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Washington","DC",,0,,,,"https://cafriseabove.org/alfred-quaisse-carroll-jr/"
"Carroll, Lawrence W.","Carroll","Lawrence W.",1945-11-20,"2nd Lt","TE-45-H","TAAF","Twin engine","Chicago","IL",,0,,,,
"Carter, Clarence J.","Carter","Clarence J.",1945-06-27,"Flight Officer","SE-45-D","TAAF","Single engine","Chicago","IL",,0,,,,
"Carter, Floyd J.","Carter","Floyd J.",1946-03-23,"Flight Officer","TE-46-A","TAAF","Twin engine","Norfolk","VA",,0,,,,
"Carter, Herbert E.","Carter","Herbert E.",1942-07-03,"2nd Lt","SE-42-F","TAAF","Single engine","Amory","MS",,0,,,,"https://cafriseabove.org/herbert-e-carter/"
"Carter, James Y.","Carter","James Y.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Winston-Salem","NC",,0,,,,
"Carter, Lloyd A.N.","Carter","Lloyd A.N.",1944-02-01,"2nd Lt","SE-44-K","TAAF","Single engine","York","PA",,0,,,,
"Carter, William G.","Carter","William G.",1946-06-28,"2nd Lt","SE-46-C","TAAF","Single engine","Pittsburg","PA",,0,,,,
"Casey, Clifton G.","Casey","Clifton G.",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","Birmingham","AL",,0,,,,
"Cassagnol, Raymond","Cassagnol","Raymond",1943-07-28,,"SE-43-G","TAAF","Single engine","Unknown","HT",,0,,,,"https://cafriseabove.org/raymond-cassagnol/"
"Chambers, Charles W.","Chambers","Charles W.",1946-03-23,"2nd Lt","SE-46-A","TAAF","Single engine","Camden","NJ",,0,,,,
"Chandler, Robert C.","Chandler","Robert C.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","Allegan","MI",,0,,,,
"Charlton, Terry J.","Charlton","Terry J.",1942-11-10,"2nd Lt","SE-42-J","TAAF","Single engine","Beaumont","TX",,0,,,,
"Chatman, Richard C., Jr.","Chatman","Richard C., Jr.",1943-10-22,"2nd Lt","CL-43-2","TAAF","Liaison pilot","Chicago","IL",,0,,,,
"Chavis, John H.","Chavis","John H.",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","Raleigh","NC",,0,,,,"https://cafriseabove.org/john-h-chavis/"
"Cheatham, Eugene C., Jr.","Cheatham","Eugene C., Jr.",1943-12-05,"2nd Lt","TE-43-K","TAAF","Twin engine","Philadelphia","PA",,0,,,,
"Cheek, Conrad H.","Cheek","Conrad H.",1946-06-28,"2nd Lt","SE-46-C","TAAF","Single engine","Weldon","NC",,0,,,,
"Cheek, Quentin V.","Cheek","Quentin V.",1945-09-08,"2nd Lt","TE-45-F","TAAF","Twin engine","Weldon","NC",,0,,,,
"Chin, Jack","Chin","Jack",1946-06-28,"2nd Lt","SE-46-C","TAAF","Single engine","Chicago","IL",,0,,,,
"Chinchester, James R.","Chinchester","James R.",1944-10-16,"2nd Lt","TE-44-I-1","TAAF","Twin engine","Santa Monica","CA",,0,,,,
"Chineworth, Joseph E.","Chineworth","Joseph E.",1944-05-23,"Flight Officer","SE-44-E","TAAF","Single engine","Memphis","TN",,0,,,,
"Choisy, George B.","Choisy","George B.",1945-08-04,"2nd Lt","TE-45-E","TAAF","Twin engine","Jamaica","NY",,0,,,,
"Cisco, Arnold W.","Cisco","Arnold W.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Alton","IL",,0,,,,"https://cafriseabove.org/arnold-w-cisco/"
"Cisco, George E.","Cisco","George E.",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Alton","IL",,0,,,,"https://cafriseabove.org/george-e-cisco/"
"Clark, Herbert V.","Clark","Herbert V.",1942-07-03,"2nd Lt","SE-42-F","TAAF","Single engine","Pine Bluff","AR",,0,,,,"https://cafriseabove.org/herbert-v-clark/"
"Clayter, Ralph V.","Clayter","Ralph V.",1945-05-23,"2nd Lt","SE-45-C","TAAF","Single engine","Roanoke","VA",,0,,,,
"Clayton, Melvin A.","Clayton","Melvin A.",1945-03-11,"2nd Lt","TE-45-A","TAAF","Twin engine","Salem","NJ",,0,,,,
"Cleage, Scott K.","Cleage","Scott K.",1943-12-07,"1st Lt","CL-43-3","TAAF","Liaison pilot","Chicago","IL",,0,,,,
"Cleaver, Lowell H.","Cleaver","Lowell H.",1944-02-01,"2nd Lt","SE-44-K","TAAF","Single engine","Prairie View","TX",,0,,,,
"Cleveland, William J.","Cleveland","William J.",1943-10-22,"2nd Lt","CL-43-2","TAAF","Liaison pilot","Columbiana City","OH",,0,,,,
"Clifton, Emile G.","Clifton","Emile G.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","San Francisco","CA",,0,,,,
"Cobbs, Wilson N.","Cobbs","Wilson N.",1945-06-27,"2nd Lt","SE-45-D","TAAF","Single engine","Gordonsville","VA",,0,,,,
"Coggs, Granville C.","Coggs","Granville C.",1945-10-16,"2nd Lt","TE-45-G","TAAF","Twin engine","Little Rock","AR",,0,,,,
"Colbert, William A., Jr.","Colbert","William A., Jr.",1944-02-01,"Flight Officer","SE-44-K","TAAF","Single engine","Cumberland","MD",,0,,,,
"Cole, Robert A.","Cole","Robert A.",1944-12-28,"Flight Officer","SE-44-J","TAAF","Single engine","Northfield","VT",,0,,,,
"Coleman, James","Coleman","James",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","Detroit","MI",,0,,,,"https://cafriseabove.org/james-coleman/"
"Coleman, William C.","Coleman","William C.",1944-04-15,"2nd Lt","TE-44-D","TAAF","Twin engine","Detroit","MI",,0,,,,
"Coleman, William J.","Coleman","William J.",1945-03-11,"2nd Lt","SE-45-A","TAAF","Single engine","Columbus","GA",,0,,,,
"Collins, Gamaliel M.","Collins","Gamaliel M.",1944-10-16,"Flight Officer","TE-44-I-1","TAAF","Twin engine","Los Angeles","CA",,0,,,,
"Collins, Russell L.","Collins","Russell L.",1945-08-04,"Flight Officer","SE-45-E","TAAF","Single engine","Davenport","IA",,0,,,,
"Connell, Victor L.","Connell","Victor L.",1945-06-27,"2nd Lt","SE-45-D","TAAF","Single engine","Nutley","NJ",,0,,,,
"Conquest, George D.","Conquest","George D.",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","New Haven","CT",,0,,,,
"Cook, Martin L.","Cook","Martin L.",1944-04-15,"Flight Officer","TE-44-D","TAAF","Twin engine","Purcellville","VA",,0,,,,
